"error_x","error_y"
12.824,106.5302183,
12.854,106.5128048,
12.854,106.4702283,
12.854,106.4912772,
12.854,106.5497116,
12.894,106.5317772,
12.894,106.4908438,
12.894,106.802927,
12.894,109.6083413,
12.924,109.5909864,
12.924,109.5484849,
12.924,109.1955931,
12.924,105.5080417,
12.974,105.4900209,
12.974,105.4492119,
12.974,105.4952409,
12.974,105.6843884,
13.004,105.6668451,
13.004,105.6244925,
13.004,105.7904756,
13.004,107.1955927,
13.014,107.178631,
13.014,107.1346647,
13.014,107.1600886,
13.014,107.2457549,
13.054,107.2293468,
13.054,107.1838333,
13.054,107.2115561,
13.054,107.3140187,
13.094,107.2981826,
13.094,107.2511749,
13.114,107.3146432,
13.114,107.623596,
13.134,107.6083222,
13.134,107.559924,
13.134,107.5753331,
13.134,107.6585519,
13.154,107.643854,
13.154,107.5941562,
13.154,108.2571409,
13.154,114.4846043,
13.184,114.4706561,
13.184,114.419662,
13.184,114.4476593,
13.184,114.5686543,
13.234,114.5552543,
13.234,114.5031402,
13.254,114.6729335,
13.254,116.0708851,
13.254,116.0580492,
13.254,116.0048826,
13.264,116.0100625,
13.264,116.0378521,
13.291,116.0255564,
13.291,115.9714229,
13.291,116.0847015,
13.291,117.1231181,
13.324,117.1113724,
13.324,117.056331,
13.324,117.1907051,
13.324,118.4087402,
13.354,118.4087402,
13.354,118.4087402,
13.354,118.4365902,
13.354,118.5852177,
13.374,118.5740037,
13.374,118.5181272,
13.374,120.431961,
13.374,140.3396486,
13.424,140.3196403,
13.424,140.2050288,
13.424,140.2263992,
13.424,140.3345912,
13.454,140.325285,
13.454,140.2669762,
13.454,140.2894323,
13.454,140.406145,
13.484,140.3972885,
13.484,140.3383832,
13.484,141.6272725,
13.484,157.9082397,
13.524,157.9001335,
13.524,157.8404271,
13.524,157.8632511,
13.524,157.9834261,
13.554,157.9757319,
13.554,157.9155216,
13.554,158.5348603,
13.554,167.5982353,
13.584,167.5982353,
13.584,167.5982353,
13.584,167.6174789,
13.584,167.7122404,
13.624,167.7050994,
13.624,167.6442925,
13.624,169.9161354,
13.624,211.3482142,
13.644,211.3421263,
13.644,211.2803026,
13.644,211.7563529,
13.644,225.2448261,
13.694,225.2340494,
13.694,225.1089041,
13.694,225.1310769,
13.694,225.2288158,
13.694,225.2288158,
13.694,225.2288158,
13.694,225.2665004,
13.694,226.4423588,
13.734,226.4374505,
13.734,226.37436,
13.734,226.3887368,
13.734,226.4503676,
13.784,226.4457564,
13.784,226.3823719,
13.784,226.1168,
13.784,216.9964367,
13.824,216.9920067,
13.824,216.9284785,
13.824,216.9437441,
13.824,217.0165918,
13.851,217.0124491,
13.851,216.9486812,
13.851,216.9621601,
13.851,217.0297679,
13.884,217.0259062,
13.884,216.9619207,
13.884,217.0245823,
13.884,218.5949023,
13.911,218.5913259,
13.911,218.5271254,
13.911,218.5628085,
13.911,219.2129338,
13.954,219.2096256,
13.954,219.145243,
13.954,219.1588233,
13.954,219.2296973,
13.984,219.2266423,
13.984,219.162105,
13.984,219.1767144,
13.984,219.2518499,
14.014,219.2490425,
14.014,219.1843669,
14.014,219.4487132,
14.014,227.5631833,
14.054,227.5606694,
14.054,227.4957614,
14.054,228.024077,
14.054,249.1714615,
14.081,249.1693079,
14.081,249.1040126,
14.081,249.4447835,
14.081,272.9336741,
14.114,272.9318589,
14.114,272.8661804,
14.114,272.9610455,
14.114,285.4748539,
14.144,285.4718987,
14.144,285.3400144,
14.144,285.3459691,
14.144,285.3578182,
14.191,285.3578182,
14.191,285.3578182,
14.191,285.3737788,
14.191,287.2662485,
14.214,287.2650339,
14.214,287.1989749,
14.214,287.2097416,
14.214,287.2141317,
14.241,287.2130778,
14.241,287.1469694,
14.241,287.169524,
14.241,299.2035047,
14.301,299.2026442,
14.301,299.136359,
14.301,299.1440154,
14.301,301.9288145,
14.311,301.9281054,
14.311,301.8617572,
14.311,301.8662205,
14.311,301.8510403,
14.341,301.8504727,
14.341,301.7840978,
14.341,301.6944485,
14.341,321.1657918,
14.381,321.1653875,
14.381,321.0987876,
14.381,321.1072486,
14.381,321.0739556,
14.401,321.073675,
14.401,321.0070623,
14.401,320.9978247,
14.401,323.1545747,
14.454,323.1544127,
14.454,323.0877708,
14.454,323.0958877,
14.454,323.0776397,
14.491,323.0775929,
14.491,323.010949,
14.491,322.8310552,
14.491,340.0781708,
14.521,340.0782288,
14.521,340.0114171,
14.521,339.8048017,
14.521,354.3271194,
14.544,354.3272696,
14.544,354.2603294,
14.544,353.9806418,
14.544,369.864543,
14.594,369.8647667,
14.594,369.7976975,
14.594,369.770418,
14.594,371.8351132,
14.614,371.8354177,
14.614,371.7683458,
14.614,371.7715601,
14.614,371.689778,
14.644,371.6901601,
14.644,371.6231041,
14.644,371.5890605,
14.644,373.5313911,
14.691,373.5318467,
14.691,373.4647936,
14.691,373.4332418,
14.691,375.3065128,
14.711,375.3070356,
14.711,375.239988,
14.711,374.840126,
14.711,393.4263789,
14.754,393.4269216,
14.754,393.3597511,
14.754,393.3661452,
14.754,393.2734797,
14.774,393.2740833,
14.774,393.2069382,
14.774,393.2140081,
14.774,393.1152707,
14.821,393.1159363,
14.821,393.0488195,
14.821,392.7793587,
14.821,404.373942,
14.821,404.3746209,
14.821,404.3074461,
14.821,404.316823,
14.821,404.1762782,
14.864,404.1762782,
14.864,404.1762782,
14.864,403.8667387,
14.864,416.6083023,
14.904,416.6097141,
14.904,416.4752817,
14.904,416.4844853,
14.904,416.2146365,
14.904,416.2154142,
14.904,416.1482464,
14.904,415.5387172,
14.904,439.1158894,
14.994,439.116595,
14.994,439.0493105,
14.994,438.9945069,
14.994,441.1932994,
15.014,441.1940321,
15.014,441.1267684,
15.014,441.1338615,
15.014,440.9641032,
15.051,440.9650882,
15.051,440.8980921,
15.051,440.626257,
15.051,451.1936482,
15.071,451.1936482,
15.071,451.1936482,
15.071,451.1236152,
15.071,453.9975031,
15.124,453.9999655,
15.124,453.8669372,
15.124,453.8712204,
15.124,453.64509,
15.141,453.64509,
15.141,453.64509,
15.141,453.6509443,
15.141,453.5451745,
15.184,453.5485434,
15.184,453.4175099,
15.184,453.3448789,
15.184,456.1482542,
15.211,456.1482542,
15.211,456.1482542,
15.211,456.1567624,
15.211,456.0046512,
15.264,456.0088213,
15.264,455.880359,
15.264,455.8823905,
15.264,455.6547273,
15.291,455.6547273,
15.291,455.6547273,
15.291,455.6225818,
15.291,456.8327292,
15.341,456.8405046,
15.341,456.6539605,
15.391,456.2702806,
15.391,471.2135439,
15.391,471.2135439,
15.391,471.2135439,
15.391,471.1453726,
15.391,473.9168723,
15.391,473.9168723,
15.391,473.9168723,
