"Theta_x","Theta_y","Estimated Theta_x","Estimated Theta_y"
17.731,-8.474980031,18.214,50.96053579,
17.781,-8.770986063,18.251,50.32016107,
17.781,-8.824714243,18.254,50.32016107,
17.854,-9.498725616,18.314,50.32016107,
17.874,-9.787547886,18.344,50.32016107,
17.904,-10.0041497,18.371,49.74095753,
17.941,-10.31482043,18.411,49.74095753,
17.974,-10.36834861,18.461,49.74095753,
17.974,-10.37221537,18.491,49.74095753,
18.034,-10.62217603,18.531,48.54605761,
18.091,-11.02049936,18.574,48.54605761,
18.091,-11.02049936,18.584,48.54605761,
18.151,-11.5045461,18.624,48.15284462,
18.191,-12.04534123,18.664,48.15284462,
18.214,-12.26091794,18.704,48.15284462,
18.251,-12.48696505,18.724,48.15284462,
18.254,-12.71334406,18.754,48.15284462,
18.314,-13.06781951,18.791,46.9598529,
18.344,-13.56488583,18.821,46.9598529,
18.371,-14.00594774,18.851,46.9598529,
18.411,-14.29437094,18.891,45.53475935,
18.461,-14.45524229,18.904,44.12676026,
18.491,-14.88240387,18.984,43.57241296,
18.531,-15.30625189,18.984,43.57241296,
18.564,-15.47806611,19.021,43.57241296,
18.584,-15.67851054,19.061,42.79399945,
18.624,-15.90166949,19.061,42.79399945,
18.664,-16.20026469,19.104,42.79399945,
18.704,-16.54141504,19.164,42.79399945,
18.724,-16.92811954,19.184,42.0022952,
18.754,-17.06601401,19.184,42.0022952,
18.791,-17.35370956,19.224,42.0022952,
18.821,-17.77520992,19.304,40.94016014,
18.851,-18.12112015,19.371,40.94016014,
18.891,-18.36624774,19.371,40.94016014,
18.904,-18.74132711,19.371,40.94016014,
18.984,-19.39364596,19.421,40.94016014,
18.984,-19.44528222,19.451,40.33423658,
19.021,-19.89080232,19.481,40.33423658,
19.061,-20.15440314,19.521,39.93223407,
19.061,-20.15440314,19.541,39.93223407,
19.104,-20.50105776,19.564,39.93223407,
19.164,-21.27013591,19.624,39.97902068,
19.184,-21.46725139,19.644,39.59937458,
19.184,-21.53767715,19.681,39.59937458,
19.224,-21.71740142,19.724,39.59669864,
19.301,-22.40019004,19.741,39.59669864,
19.371,-23.03157642,19.781,39.59669864,
19.371,-23.03157642,19.814,39.59669864,
19.371,-23.03157642,19.834,39.59760212,
19.421,-23.29139922,19.894,39.59760212,
19.451,-23.76097018,19.921,39.68657897,
19.481,-24.12666476,19.951,39.8027964,
19.521,-24.5287937,19.984,40.37556767,
19.541,-24.75692834,20.021,40.8328337,
19.564,-24.8654516,20.054,40.8328337,
19.624,-25.32628916,20.084,41.15111254,
19.644,-25.67060728,20.124,41.15111254,
19.681,-25.88818819,20.144,41.4427776,
19.724,-26.15759157,20.144,41.4427776,
19.741,-26.34979576,20.204,41.4427776,
19.781,-26.7738419,20.254,41.4427776,
19.814,-26.97292917,20.311,41.61624133,
19.834,-27.06377341,20.314,41.61624133,
19.894,-27.80723228,20.354,41.76837681,
19.921,-28.02132093,20.374,41.76837681,
19.951,-28.35516064,20.411,41.83678465,
19.984,-28.60257983,20.424,41.83678465,
20.021,-28.97890541,20.474,41.83678465,
20.054,-29.19439831,20.501,41.83678465,
20.084,-29.43129468,20.544,41.83678465,
20.124,-29.77053283,20.584,41.94445348,
20.144,-30.15784484,20.584,41.94445348,
20.144,-30.24071911,20.634,41.94445348,
20.204,-30.39614534,20.681,41.94445348,
20.254,-31.01591186,20.724,41.94445348,
20.311,-31.4302411,20.761,41.67502294,
20.314,-31.48796248,20.774,42.04895348,
20.354,-31.97479622,20.814,42.04895348,
20.374,-32.14086378,20.844,42.5835491,
20.411,-32.43928223,20.874,42.5835491,
20.424,-32.58430267,20.921,42.5835491,
20.474,-32.75297434,20.961,43.2456888,
20.501,-33.13560701,20.974,44.09235712,
20.544,-33.65581052,20.974,44.09235712,
20.584,-33.77984734,21.051,44.09235712,
20.584,-34.04845398,21.104,45.51127722,
20.634,-34.33899028,21.124,47.25728431,
20.681,-34.8780508,21.154,47.25728431,
20.714,-35.27210028,21.174,48.44705322,
20.761,-35.64606619,21.224,48.44705322,
20.774,-35.95113288,21.254,50.64364715,
20.814,-36.26643251,21.274,52.80462398,
20.844,-36.618208,21.304,52.80462398,
20.874,-36.9059127,21.344,54.22196884,
20.921,-37.36275578,21.371,54.22196884,
20.961,-37.79483153,21.394,54.22196884,
20.974,-38.04053832,21.451,54.22196884,
20.974,-38.04053832,21.474,55.54120033,
21.051,-38.62573903,21.524,57.79431096,
21.101,-39.05301611,21.554,58.87600124,
21.124,-39.17873258,21.554,58.87600124,
21.154,-39.43710589,21.614,58.87600124,
21.174,-39.72356813,21.644,58.87600124,
21.224,-40.12700637,21.684,59.95580163,
21.254,-40.60379809,21.714,59.95580163,
21.274,-40.85342315,21.744,59.95580163,
21.304,-41.17183438,21.774,59.95580163,
21.344,-41.48415971,21.814,61.97129041,
21.344,-41.72232328,21.844,61.97129041,
21.394,-41.93575222,21.894,61.97129041,
21.451,-42.28338564,21.921,61.55203206,
21.474,-42.92563739,21.944,63.05894556,
21.524,-43.3606805,21.984,63.05894556,
21.541,-43.67357024,21.984,63.05894556,
21.554,-43.83714514,22.041,66.35867577,
21.614,-44.31119134,22.091,66.35867577,
21.644,-44.70189277,22.114,66.35867577,
21.684,-44.94814951,22.154,66.35867577,
21.714,-45.23329384,22.171,68.38440752,
21.744,-45.90400611,22.224,69.71292456,
21.774,-46.02651004,22.244,69.71292456,
21.814,-46.48253034,22.281,69.71292456,
21.844,-46.77131382,22.321,69.71292456,
21.864,-47.26443599,22.344,69.97479412,
